,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,72.7868,-56.1549,-14.76,92,27,9.93
1,Kapaa,US,22.0752,-159.319,81.48,70,40,6.91
2,San Lorenzo,PY,-25.3333,-57.5333,76.59,53,0,5.01
3,Georgetown,MY,5.4112,100.3354,82.33,82,20,6.91
4,Rikitea,PF,-23.1203,-134.9692,78.4,70,2,14.03
5,Lodja,CD,-3.4833,23.4333,68.45,99,100,5.06
6,Mar Del Plata,AR,-38.0023,-57.5575,69.94,92,75,20.0
7,Kampene,CD,-3.6,26.6667,66.02,99,100,1.92
8,Faya,SA,18.3851,42.4509,45.12,80,1,2.71
9,Ballinrobe,IE,53.6333,-9.2333,47.75,70,100,21.23
10,Dingle,PH,10.9995,122.6711,76.32,82,91,13.53
11,Ushuaia,AR,-54.8,-68.3,56.86,54,75,3.44
12,Busselton,AU,-33.65,115.3333,76.28,42,1,2.06
13,Avarua,CK,-21.2078,-159.775,77.05,83,75,5.75
14,Severo-Kurilsk,RU,50.6789,156.125,25.21,64,95,22.21
15,Touros,BR,-5.1989,-35.4608,78.58,80,99,10.98
16,Hilo,US,19.7297,-155.09,80.33,66,0,10.36
17,Hami,CN,42.8,93.45,26.58,43,6,2.53
18,Asau,RO,46.4333,26.4,34.72,98,100,2.59
19,Sao Filipe,CV,14.8961,-24.4956,72.37,66,0,14.27
20,Waipawa,NZ,-41.4122,175.5153,54.39,87,100,11.9
21,Vardo,NO,70.3705,31.1107,15.78,86,20,14.97
22,Port Lincoln,AU,-34.7333,135.8667,78.66,48,15,13.65
23,Kruisfontein,ZA,-34.0033,24.7314,58.89,85,20,4.47
24,Albany,US,42.6001,-73.9662,31.23,74,13,3.0
25,Aktash,RU,50.3,87.7333,-1.39,90,43,5.86
26,Kavieng,PG,-2.5744,150.7967,83.91,72,82,7.02
27,Sydney,AU,-33.8679,151.2073,81.61,53,30,7.0
28,Thompson,CA,55.7435,-97.8558,1.56,85,75,2.3
29,Srednekolymsk,RU,67.45,153.6833,-33.81,97,100,10.0
30,Xuddur,SO,4.1213,43.8894,68.13,82,30,14.81
31,Butaritari,KI,3.0707,172.7902,80.2,81,23,14.03
32,Roald,NO,62.5833,6.1333,52.72,70,40,8.05
33,Saldanha,ZA,-33.0117,17.9442,60.85,88,0,8.41
34,Quatre Cocos,MU,-20.2078,57.7625,77.11,75,23,12.77
35,Mataura,NZ,-46.1927,168.8643,78.48,27,0,8.59
36,Bosaso,SO,11.2842,49.1816,72.36,79,45,2.01
37,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,75,4.61
38,Nikolskoye,RU,59.7035,30.7861,-0.22,86,83,5.95
39,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,8.05
40,Dunedin,NZ,-45.8742,170.5036,59.81,95,0,16.58
41,Chokurdakh,RU,70.6333,147.9167,-22.97,98,100,5.26
42,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,19.57
43,Kodiak,US,57.79,-152.4072,29.71,69,0,21.85
44,Paamiut,GL,61.994,-49.6678,26.51,96,100,6.42
45,Dikson,RU,73.5069,80.5464,-0.89,95,100,5.7
46,Tuatapere,NZ,-46.1333,167.6833,74.61,41,0,7.99
47,Saint George,US,37.1041,-113.5841,47.43,74,0,4.61
48,Alta Floresta,BR,-9.8756,-56.0861,69.87,98,99,2.59
49,Mount Gambier,AU,-37.8333,140.7667,92.97,19,6,11.83
50,Hobart,AU,-42.8794,147.3294,82.06,43,20,9.22
51,Gouyave,GD,12.1646,-61.7296,74.17,94,75,10.36
52,Kaitangata,NZ,-46.2817,169.8464,63.57,59,0,15.43
53,Shiraoi,JP,42.55,141.35,27.75,70,64,1.66
54,Tiksi,RU,71.6872,128.8694,-41.89,100,74,2.93
55,Ampanihy,MG,-24.7,44.75,74.91,84,89,3.33
56,Oxelosund,SE,58.6706,17.1015,37.78,100,100,13.8
57,Plettenberg Bay,ZA,-34.0527,23.3716,64.58,77,28,3.18
58,Tottori,JP,35.5,134.2333,46.47,81,75,4.61
59,Saskylakh,RU,71.9167,114.0833,-32.01,99,100,3.56
60,Lavrentiya,RU,65.5833,-171.0,-6.88,97,45,4.63
61,Jamestown,US,42.097,-79.2353,35.19,56,100,10.36
62,Yellowknife,CA,62.456,-114.3525,9.12,92,100,3.44
63,Punta Arenas,CL,-53.15,-70.9167,60.91,41,0,5.75
64,Port Alfred,ZA,-33.5906,26.891,60.19,94,4,9.73
65,Uvinza,TZ,-5.1036,30.3911,63.28,96,83,2.51
66,East London,ZA,-33.0153,27.9116,62.33,82,0,7.34
67,Kinablangan,PH,7.6947,126.5503,76.05,90,100,9.82
68,Chuy,UY,-33.6971,-53.4616,67.5,85,0,10.0
69,Faanui,PF,-16.4833,-151.75,81.63,68,56,2.28
70,Lata,PT,40.1629,-8.3327,57.81,95,100,10.54
71,Vaini,TO,-21.2,-175.2,87.96,74,75,11.5
72,Kondinskoye,RU,59.6481,67.41,-14.93,92,100,12.8
73,Parabel,RU,58.6978,81.4825,24.44,95,100,11.32
74,Baruun-Urt,MN,46.6806,113.2792,9.57,76,16,5.55
75,Macas,EC,-2.3167,-78.1167,65.52,98,100,2.1
76,Katsuura,JP,35.1333,140.3,51.08,44,0,5.19
77,Zinder,NE,13.8072,8.9881,60.89,25,3,9.84
78,Saint-Pierre,RE,-21.3393,55.4781,75.9,64,14,8.05
79,Kurmanayevka,RU,52.5093,52.0675,-16.08,97,17,8.03
80,Khatanga,RU,71.9667,102.5,-34.01,100,100,2.68
81,Cherskiy,RU,68.75,161.3,-22.63,98,100,6.31
82,Dali,CN,25.7,100.1833,53.94,51,0,1.25
83,Hithadhoo,MV,-0.6,73.0833,79.57,80,67,6.85
84,Puerto Ayora,EC,-0.7393,-90.3518,73.54,96,12,6.13
85,Balkanabat,TM,39.5108,54.3671,40.23,79,100,6.44
86,Narsaq,GL,60.9167,-46.05,14.22,69,100,8.72
87,Bengkulu,ID,-3.8004,102.2655,81.81,68,93,8.55
88,Longyearbyen,SJ,78.2186,15.6401,26.44,63,0,13.8
89,San Quintin,MX,30.4833,-115.95,59.09,67,23,5.57
90,Shirokiy,RU,49.758,129.523,-2.06,91,86,4.0
91,Atuona,PF,-9.8,-139.0333,78.66,75,12,14.14
92,Half Moon Bay,US,37.4636,-122.4286,54.05,89,100,21.85
93,Sitka,US,57.0531,-135.33,44.49,76,100,12.66
94,Morondava,MG,-20.2833,44.2833,77.95,81,71,4.68
95,Gat,IL,31.61,34.7642,53.4,100,0,3.83
96,Bredasdorp,ZA,-34.5322,20.0403,61.88,87,2,4.74
97,Nyrob,RU,60.733,56.7202,-13.25,94,100,6.29
98,Kiunga,PG,-6.1219,141.2906,93.69,46,100,2.04
99,Sinnamary,GF,5.3833,-52.95,75.25,90,100,9.15
100,Umm Lajj,SA,25.0213,37.2685,67.08,47,8,8.41
101,Martil,MA,35.6166,-5.2752,60.76,63,99,9.22
102,San Jose,US,37.3394,-121.895,54.0,82,100,25.32
103,Cape Town,ZA,-33.9258,18.4232,67.37,78,0,8.05
104,Urucui,BR,-7.2294,-44.5561,76.48,78,96,1.92
105,Marsabit,KE,2.3284,37.9899,63.19,80,39,14.72
106,Krasnoborsk,RU,61.5598,45.934,-26.52,99,37,3.49
107,Zeitz,DE,51.05,12.15,47.28,79,100,13.29
108,Boa Viagem,BR,-5.1275,-39.7322,72.16,79,3,3.22
109,Saint-Philippe,RE,-21.3585,55.7679,78.39,77,13,10.63
110,Marsaxlokk,MT,35.8419,14.5431,50.61,100,0,6.91
111,Castro,BR,-24.7911,-50.0119,54.14,99,32,6.29
112,Saint-Leu,RE,-21.15,55.2833,77.86,76,4,3.29
113,Acapulco,MX,16.8634,-99.8901,80.42,78,0,5.75
114,Pevek,RU,69.7008,170.3133,-15.2,99,99,5.53
115,Ostrovnoy,RU,68.0531,39.5131,7.83,97,75,7.65
116,Ilulissat,GL,69.2167,-51.1,6.82,66,59,2.3
117,Nampula,MZ,-15.1165,39.2666,73.35,94,75,8.05
118,Esna,EG,25.2934,32.554,50.02,56,37,7.65
119,Victoria,HK,22.2855,114.1577,69.85,45,100,5.99
120,Kamenka,RU,51.3223,42.7678,-2.47,91,6,6.78
121,Mehran,IR,33.1222,46.1646,53.6,69,99,5.79
122,Bluff,NZ,-46.6,168.3333,65.14,60,0,23.4
123,Hobyo,SO,5.3505,48.5268,76.12,80,6,15.7
124,New Norfolk,AU,-42.7826,147.0587,81.72,19,0,3.71
125,Lebu,CL,-37.6167,-73.65,57.02,91,65,6.22
126,Carnarvon,AU,-24.8667,113.6333,83.53,41,0,19.75
127,Peniche,PT,39.3558,-9.3811,61.29,96,100,22.48
128,Chaihe,CN,44.7667,129.7,8.04,87,100,4.9
129,Lompoc,US,34.6391,-120.4579,57.85,75,100,17.0
130,Banjar,ID,-8.19,114.9675,86.79,60,5,3.38
131,Tautira,PF,-17.7333,-149.15,80.83,74,52,9.28
132,Golubitskaya,RU,45.3222,37.2822,14.41,55,16,14.67
133,Norman Wells,CA,65.282,-126.8329,-9.36,84,75,0.0
134,Esperance,AU,-33.8667,121.9,68.22,55,0,9.4
135,Cabo San Lucas,MX,22.8909,-109.9124,71.51,76,0,3.0
136,Qaanaaq,GL,77.484,-69.3632,-10.89,100,100,3.49
