,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Kapaa,US,81.48,22.0752,-159.319,Pono Kai Resort
2,San Lorenzo,PY,76.59,-25.3333,-57.5333,Hotel del Sur
3,Georgetown,MY,82.33,5.4112,100.3354,Page 63 hostel
4,Rikitea,PF,78.4,-23.1203,-134.9692,Chez Bianca & Benoit
10,Dingle,PH,76.32,10.9995,122.6711,No hotel found
12,Busselton,AU,76.28,-33.65,115.3333,No hotel found
13,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
15,Touros,BR,78.58,-5.1989,-35.4608,Pousada Atlântico
16,Hilo,US,80.33,19.7297,-155.09,Dolphin Bay Hotel
22,Port Lincoln,AU,78.66,-34.7333,135.8667,Boston Hotel
26,Kavieng,PG,83.91,-2.5744,150.7967,Kavieng Hotel
27,Sydney,AU,81.61,-33.8679,151.2073,The Westin
31,Butaritari,KI,80.2,3.0707,172.7902,No hotel found
34,Quatre Cocos,MU,77.11,-20.2078,57.7625,Horisun
35,Mataura,NZ,78.48,-46.1927,168.8643,No hotel found
39,Bambous Virieux,MU,77.25,-20.3428,57.7575,No hotel found
50,Hobart,AU,82.06,-42.8794,147.3294,Vibe Hotel Hobart
67,Kinablangan,PH,76.05,7.6947,126.5503,No hotel found
69,Faanui,PF,81.63,-16.4833,-151.75,Oa Oa Lodge
71,Vaini,TO,87.96,-21.2,-175.2,Keleti International Resort
78,Saint-Pierre,RE,75.9,-21.3393,55.4781,Tropic Hotel
83,Hithadhoo,MV,79.57,-0.6,73.0833,Pebbles Inn
87,Bengkulu,ID,81.81,-3.8004,102.2655,Dena Hotel
91,Atuona,PF,78.66,-9.8,-139.0333,Pearl Resort
94,Morondava,MG,77.95,-20.2833,44.2833,Hotel Sharon Menabe
99,Sinnamary,GF,75.25,5.3833,-52.95,Hôtel du fleuve
104,Urucui,BR,76.48,-7.2294,-44.5561,No hotel found
109,Saint-Philippe,RE,78.39,-21.3585,55.7679,Le Baril
112,Saint-Leu,RE,77.86,-21.15,55.2833,Iloha Seaview Hôtel
113,Acapulco,MX,80.42,16.8634,-99.8901,Hotel del Valle
123,Hobyo,SO,76.12,5.3505,48.5268,No hotel found
124,New Norfolk,AU,81.72,-42.7826,147.0587,Woodbridge on the Derwent
126,Carnarvon,AU,83.53,-24.8667,113.6333,No hotel found
130,Banjar,ID,86.79,-8.19,114.9675,Villa Banjar Beach
