City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Awbari,LY,2023-01-05 01:04:27,26.5921,12.7805,49.6,59,0,6.33
1,Khatanga,RU,2023-01-05 01:04:28,71.9667,102.5,-43.65,100,94,2.75
2,Samarai,PG,2023-01-05 01:04:28,-10.6167,150.6667,83.61,73,100,7.16
3,Kavieng,PG,2023-01-05 01:04:29,-2.5744,150.7967,84.06,66,61,2.57
4,Vaini,TO,2023-01-05 01:04:30,-21.2,-175.2,84.36,79,75,14.97
5,Narsaq,GL,2023-01-05 01:03:17,60.9167,-46.05,34.02,69,100,15.05
6,Hermanus,ZA,2023-01-05 01:04:31,-34.4187,19.2345,56.8,65,100,13.13
7,Richards Bay,ZA,2023-01-05 01:04:31,-28.783,32.0377,72.72,93,99,14.09
8,Grindavik,IS,2023-01-05 01:04:32,63.8424,-22.4338,25.27,74,0,8.05
9,Bluff,NZ,2023-01-05 01:04:33,-46.6,168.3333,59.25,94,100,5.17
10,Tafresh,IR,2023-01-05 01:04:34,34.692,50.013,30.72,67,45,1.32
11,Mehtar Lam,AF,2023-01-05 01:04:34,34.6714,70.2094,46.04,31,0,3.96
12,Kidal,ML,2023-01-05 01:04:35,18.4411,1.4078,61.34,24,9,10.51
13,Georgetown,MY,2023-01-05 01:01:00,5.4112,100.3354,80.53,74,20,5.75
14,Aktash,RU,2023-01-05 01:04:36,50.3,87.7333,-3.68,85,100,7.23
15,Albany,US,2023-01-05 01:02:48,42.6001,-73.9662,40.64,93,100,2.57
16,Avarua,CK,2023-01-05 01:04:37,-21.2078,-159.775,82.45,57,40,6.91
17,Bengkulu,ID,2023-01-05 01:04:38,-3.8004,102.2655,76.96,82,100,4.23
18,Kushima,JP,2023-01-05 01:04:38,31.4583,131.2333,49.21,48,0,5.17
19,Saravan,AM,2023-01-05 01:04:39,39.7196,45.6483,25.36,42,100,5.14
20,Jamestown,US,2023-01-05 01:04:40,42.097,-79.2353,57.02,70,100,7.0
21,Thompson,CA,2023-01-05 01:04:40,55.7435,-97.8558,14.72,96,100,5.7
22,Salalah,OM,2023-01-05 01:04:41,17.0151,54.0924,71.69,83,40,3.44
